"Citation: Lawrence H. Officer, 'Exchange Rates Between the United States Dollar and Forty-one Currencies,' MeasuringWorth, 2025. "
The table(s) present the price of one United States Dollar.
"Argentina, 1600 - 2025"
"1984","1.2950 Canadian Dollar"
"1985","1.3660 Canadian Dollar"
"1986","1.3900 Canadian Dollar"
"1987","1.3260 Canadian Dollar"
"1988","1.2310 Canadian Dollar"
"1989","1.1840 Canadian Dollar"
"1990","1.1670 Canadian Dollar"
"1991","1.1460 Canadian Dollar"
"1992","1.2090 Canadian Dollar"
"1993","1.2900 Canadian Dollar"
"1994","1.3660 Canadian Dollar"
"1995","1.3730 Canadian Dollar"
"1996","1.3640 Canadian Dollar"
"1997","1.3850 Canadian Dollar"
"1998","1.4840 Canadian Dollar"
"1999","1.4858 Canadian Dollar"
"2000","1.4855 Canadian Dollar"
"2001","1.5487 Canadian Dollar"
"2002","1.5704 Canadian Dollar"
"2003","1.4008 Canadian Dollar"
"2004","1.3017 Canadian Dollar"
"2005","1.2115 Canadian Dollar"
"2006","1.1340 Canadian Dollar"
"2007","1.0734 Canadian Dollar"
"2008","1.0660 Canadian Dollar"
"2009","1.1412 Canadian Dollar"
"2010","1.0298 Canadian Dollar"
"2011","0.9890 Canadian Dollar"
"2012","0.9995 Canadian Dollar"
"2013","1.0300 Canadian Dollar"
"2014","1.1043 Canadian Dollar"
"2015","1.2791 Canadian Dollar"
"2016","1.3254 Canadian Dollar"
"2017","1.2977 Canadian Dollar"
"2018","1.2958 Canadian Dollar"
"2019","1.3300 Canadian Dollar"
"2020","1.3400 Canadian Dollar"
"2021","1.2539 Canadian Dollar"
"2022","1.3016 Canadian Dollar"
"2023","1.3499 Canadian Dollar"
"2024","1.3700 Canadian Dollar"
"Chile, 1600 - 2025"
"1917","3.5660 Old Peso"
"1918","3.3786 Old Peso"
"1919","4.4336 Old Peso"
"1920","5.4189 Old Peso"
"1921","8.3269 Old Peso"
"1922","8.1831 Old Peso"
"1923","8.1684 Old Peso"
"1924","9.4833 Old Peso"
"1925","8.6184 Old Peso"
"1926","8.2805 Old Peso"
"1927","8.2883 Old Peso"
"1928","8.2338 Old Peso"
"1929","8.2918 Old Peso"
"1930","8.2792 Old Peso"
"1931","8.2871 Old Peso"
"1932","12.6456 Old Peso"
"1933","13.0230 Old Peso"
"1934","9.8569 Old Peso"
"1935","19.6723 Old Peso"
"1936","19.5160 Old Peso"
"1937","19.3435 Old Peso"
"1938","19.3364 Old Peso"
"1939","19.3323 Old Peso"
"1940","19.3543 Old Peso"
"1941","19.3558 Old Peso"
"1948","32.9990 Old Peso"
"1949","35.9989 Old Peso"
"1950","47.9986 Old Peso"
"1951","55.9984 Old Peso"
"1952","61.9982 Old Peso"
"1953","70.9979 Old Peso"
"1954","91.9973 Old Peso"
"1955","161.9950 Old Peso"
"1956","335.9900 Old Peso"
"1957","521.3180 Old Peso"
"1958","704.6460 Old Peso"
"1959","944.3060 Old Peso"
"1960","1.0490 Escudos"
"1961","1.0501 Escudos"
"1962","1.0576 Escudos"
"1963","1.6218 Escudos"
"1964","2.3074 Escudos"
"1965","3.1567 Escudos"
"1966","3.8511 Escudos"
"1967","5.0683 Escudos"
"1968","6.8765 Escudos"
"1969","8.6176 Escudos"
"1970","11.2775 Escudos"
"1971","12.2086 Escudos"
"1972","20.8352 Escudos"
"1973","71.6419 Escudos"
"1974","592.8260 Escudos"
"1975","4910.4200 Escudos"
"1976","13.0542 Pesos"
"1977","21.5358 Pesos"
"1978","31.6558 Pesos"
"1979","37.2458 Pesos"
"1980","39.0000 Pesos"
"1981","39.0000 Pesos"
"1982","50.9083 Pesos"
"1983","78.7883 Pesos"
"1984","98.4775 Pesos"
"1985","160.8600 Pesos"
"1986","192.9300 Pesos"
"1987","219.4070 Pesos"
"1988","245.0120 Pesos"
"1989","266.9540 Pesos"
"1990","304.9030 Pesos"
"1991","349.2160 Pesos"
"1992","362.5760 Pesos"
"1993","404.1660 Pesos"
"1994","420.1770 Pesos"
"1995","396.7730 Pesos"
"1996","412.2670 Pesos"
"1997","419.2950 Pesos"
"1998","460.2900 Pesos"
"1999","508.7800 Pesos"
"2000","539.5900 Pesos"
"2001","634.9400 Pesos"
"2002","688.9400 Pesos"
"2003","691.4300 Pesos"
"2004","609.3700 Pesos"
"2005","560.0900 Pesos"
"2006","530.2900 Pesos"
"2007","522.5010 Pesos"
"2008","522.4600 Pesos"
"2009","560.8600 Peso"
"2010","510.2490 Peso"
"2011","483.6680 Pesos"
"2012","486.4710 Pesos"
"2013","495.2880 Pesos"
"2014","570.2750 Pesos"
"2015","654.1200 Peso (New People's Currency)"
"2016","676.9580 Peso (New People's Currency)"
"2017","648.8340 Peso (New People's Currency)"
"2018","641.2770 Peso (New People's Currency)"
"2019","702.9000 Peso (New People's Currency)"
"2020","792.7300 Peso (New People's Currency)"
"2021","758.9550 Peso (New People's Currency)"
"2022","873.3140 Peso (New People's Currency)"
"2023","840.0670 Peso (New People's Currency)"
"2024","944.4570 Peso (New People's Currency)"
"China, 1600 - 2025"
"1922","1.7975 Old Yuan"
"1923","1.9003 Old Yuan"
"1924","1.8976 Old Yuan"
"1925","1.7573 Old Yuan"
"1926","2.0008 Old Yuan"
"1927","2.2758 Old Yuan"
"1928","2.1674 Old Yuan"
"1929","2.3866 Old Yuan"
"1930","3.3426 Old Yuan"
"1931","4.4569 Old Yuan"
"1932","4.6007 Old Yuan"
"1933","3.4968 New Yuan"
"1934","2.9331 New Yuan"
"1935","2.7344 New Yuan"
"1936","3.3613 New Yuan"
"1937","3.3777 New Yuan"
"1938","4.6817 New Yuan"
"1939","8.4180 New Yuan"
"1940","16.6672 New Yuan"
"1941","18.8207 New Yuan"
"1981","1.7031 (New People's Currency) Yuan"
"1982","1.8978 (New People's Currency) Yuan"
"1983","1.9809 (New People's Currency) Yuan"
"1984","2.3308 (New People's Currency) Yuan"
"1985","2.9434 (New People's Currency) Yuan"
"1986","3.4616 (New People's Currency) Yuan"
"1987","3.7314 (New People's Currency) Yuan"
"1988","3.7314 (New People's Currency) Yuan"
"1989","3.7673 (New People's Currency) Yuan"
"1990","4.7921 (New People's Currency) Yuan"
"1991","5.3337 (New People's Currency) Yuan"
"1992","5.5206 (New People's Currency) Yuan"
"1993","5.7795 (New People's Currency) Yuan"
"1994","8.6397 (New People's Currency) Yuan"
"1995","8.3700 (New People's Currency) Yuan"
"1996","8.3389 (New People's Currency) Yuan"
"1997","8.3193 (New People's Currency) Yuan"
"1998","8.3008 (New People's Currency) Yuan"
"1999","8.2783 (New People's Currency) Yuan"
"2000","8.2784 (New People's Currency) Yuan"
"2001","8.2770 (New People's Currency) Yuan"
"2002","8.2771 (New People's Currency) Yuan"
"2003","8.2772 (New People's Currency) Yuan"
"2004","8.2768 (New People's Currency) Yuan"
"2005","8.1936 (New People's Currency) Yuan"
"2006","7.9723 (New People's Currency) Yuan"
"2007","7.6058 (New People's Currency) Yuan"
"2008","6.9477 (New People's Currency) Yuan"
"2009","6.8307 (New People's Currency) Yuan"
"2010","6.7696 (New People's Currency) Yuan"
"2011","6.4630 (New People's Currency) Yuan"
"2012","6.3093 (New People's Currency) Yuan"
"2013","6.1478 (New People's Currency) Yuan"
"2014","6.1620 (New People's Currency) Yuan"
"2015","6.2827 (New People's Currency) Yuan"
"2016","6.6445 (New People's Currency) Yuan"
"2017","6.7588 (New People's Currency) Yuan"
"2018","6.6160 (New People's Currency) Yuan"
"2019","6.9100 (New People's Currency) Yuan"
"2020","6.9000 (New People's Currency) Yuan"
"2021","6.4490 (New People's Currency) Yuan"
"2022","6.7372 (New People's Currency) Yuan"
"2023","7.0840 (New People's Currency) Yuan"
"2024","7.2003 (New People's Currency) Yuan"
"Colombia, 1600 - 2025"
"1926","1.0157 Peso"
"1927","1.0237 Peso"
"1928","1.0236 Peso"
"1929","1.0357 Peso"
"1930","1.0363 Peso"
"1931","1.0355 Peso"
"1932","1.0496 Peso"
"1933","1.2240 Peso"
"1934","1.6186 Peso"
"1935","1.7854 Peso"
"1936","1.7518 Peso"
"1937","1.7629 Peso"
"1938","1.7872 Peso"
"1939","1.7525 Peso"
"1940","1.7518 Peso"
"1941","1.7543 Peso"
"1948","1.7600 Peso"
"1949","1.9600 Peso"
"1950","1.9600 Peso"
"1951","2.4000 Peso"
"1952","2.5100 Peso"
"1953","2.5100 Peso"
"1954","2.5100 Peso"
"1955","2.5100 Peso"
"1956","2.5100 Peso"
"1957","3.7975 Peso"
"1958","6.4000 Peso"
"1959","6.4000 Peso"
"1960","6.6350 Peso"
"1961","6.7000 Peso"
"1962","6.9012 Peso"
"1963","9.0000 Peso"
"1964","9.0000 Peso"
"1965","10.4750 Peso"
"1966","13.5000 Peso"
"1967","14.5064 Peso"
"1968","16.2907 Peso"
"1969","17.3201 Peso"
"1970","18.4431 Peso"
"1971","19.9319 Peso"
"1972","21.8656 Peso"
"1973","23.6370 Peso"
"1974","26.0641 Peso"
"1975","30.9289 Peso"
"1976","34.6939 Peso"
"1977","36.7749 Peso"
"1978","39.0946 Peso"
"1979","42.5498 Peso"
"1980","47.2803 Peso"
"1981","54.4906 Peso"
"1982","64.0847 Peso"
"1983","78.8543 Peso"
"1984","100.8170 Peso"
"1985","142.3120 Peso"
"1986","194.2610 Peso"
"1987","242.6070 Peso"
