country,year,currency
"Brazil, 1600 - 2025",1963,574.7160 Old Cruzeiros
"Brazil, 1600 - 2025",1964,1252.3800 Old Cruzeiros
"Brazil, 1600 - 2025",1965,1898.0600 Old Cruzeiros
"Brazil, 1600 - 2025",1966,2218.9000 Old Cruzeiros
"Brazil, 1600 - 2025",1967,2.6627 (New) Cruzeiros
"Brazil, 1600 - 2025",1968,3.3943 (New) Cruzeiros
"Brazil, 1600 - 2025",1969,4.0730 (New) Cruzeiros
"Brazil, 1600 - 2025",1970,4.5907 (New) Cruzeiros
"Brazil, 1600 - 2025",1971,5.2854 (New) Cruzeiros
"Brazil, 1600 - 2025",1972,5.9311 (New) Cruzeiros
"Brazil, 1600 - 2025",1973,6.1230 (New) Cruzeiros
"Brazil, 1600 - 2025",1974,6.7866 (New) Cruzeiros
"Brazil, 1600 - 2025",1975,8.1230 (New) Cruzeiros
"Brazil, 1600 - 2025",1976,10.6677 (New) Cruzeiros
"Brazil, 1600 - 2025",1977,14.1370 (New) Cruzeiros
"Brazil, 1600 - 2025",1978,18.0611 (New) Cruzeiros
"Brazil, 1600 - 2025",1979,26.9327 (New) Cruzeiros
"Brazil, 1600 - 2025",1980,52.6880 (New) Cruzeiros
"Brazil, 1600 - 2025",1981,93.0788 (New) Cruzeiros
"Brazil, 1600 - 2025",1982,179.4260 (New) Cruzeiros
"Brazil, 1600 - 2025",1983,576.7600 (New) Cruzeiros
"Brazil, 1600 - 2025",1984,1847.1200 (New) Cruzeiros
"Brazil, 1600 - 2025",1985,6197.3400 (New) Cruzeiros
"Brazil, 1600 - 2025",1986,13.6493 Cruzados
"Brazil, 1600 - 2025",1987,39.2092 Cruzados
"Brazil, 1600 - 2025",1988,261.9990 Cruzados
"Brazil, 1600 - 2025",1989,2.8339 New Cruzados
"Brazil, 1600 - 2025",1990,68.3001 (Again New) Cruzados
"Brazil, 1600 - 2025",1991,406.6070 (Again New) Cruzados
"Brazil, 1600 - 2025",1992,4512.9900 (Again New) Cruzados
"Brazil, 1600 - 2025",1993,88440.0000 (Again New) Cruzados
"Brazil, 1600 - 2025",1994,1758.0700 Cruzeiros Reais
"Brazil, 1600 - 2025",1995,0.9177 Reals
"Brazil, 1600 - 2025",1996,1.0051 Reals
"Brazil, 1600 - 2025",1997,1.0779 Reals
"Brazil, 1600 - 2025",1998,1.1605 Reals
"Brazil, 1600 - 2025",1999,1.8207 Reals
"Brazil, 1600 - 2025",2000,1.8301 Reals
"Brazil, 1600 - 2025",2001,2.3527 Reals
"Brazil, 1600 - 2025",2002,2.9213 Reals
"Brazil, 1600 - 2025",2003,3.0750 Reals
"Brazil, 1600 - 2025",2004,2.9262 Reals
"Brazil, 1600 - 2025",2005,2.4352 Reals
"Brazil, 1600 - 2025",2006,2.1738 Reals
"Brazil, 1600 - 2025",2007,1.9461 Reals
"Brazil, 1600 - 2025",2008,1.8327 Reals
"Brazil, 1600 - 2025",2009,1.9976 Reals
"Brazil, 1600 - 2025",2010,1.7601 Reals
"Brazil, 1600 - 2025",2011,1.6720 Reals
"Brazil, 1600 - 2025",2011,1.6723 Reals
"Brazil, 1600 - 2025",2012,1.9535 Reals
"Brazil, 1600 - 2025",2013,2.1570 Reals
"Brazil, 1600 - 2025",2014,2.3512 Reals
"Brazil, 1600 - 2025",2015,3.3336 Reals
"Brazil, 1600 - 2025",2016,3.4913 Reals
"Brazil, 1600 - 2025",2017,3.1914 Reals
"Brazil, 1600 - 2025",2018,3.6538 Reals
"Brazil, 1600 - 2025",2019,3.9400 Reals
"Brazil, 1600 - 2025",2020,5.1600 Reals
"Brazil, 1600 - 2025",2021,5.3944 Reals
"Brazil, 1600 - 2025",2022,5.1640 Reals
"Brazil, 1600 - 2025",2023,4.9944 Reals
"Brazil, 1600 - 2025",2024,5.3895 Reals
,,
"Canada, 1600 - 2025",1913,1.0000 Canadian Dollar
"Canada, 1600 - 2025",1914,0.9990 Canadian Dollar
